MapDate,Region,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20220201,Northeast,"165,711.93","37,383.26","4,140.97","1,727.47",0.00,0.00,2022-02-01,2022-02-07,1
20220201,South,"96,119.61","428,855.70","366,352.85","273,043.32","124,242.56","2,028.86",2022-02-01,2022-02-07,1
20220201,Southeast,"198,194.55","92,147.04","15,503.15",163.90,0.00,0.00,2022-02-01,2022-02-07,1
20220201,West,"629,361.58","1,145,704.62","1,048,132.32","760,266.57","233,299.14","38,329.88",2022-02-01,2022-02-07,1
20220125,High Plains,"49,468.25","459,896.78","335,546.35","184,793.86","37,560.55",3.28,2022-01-25,2022-01-31,1
20220125,Midwest,"304,741.38","194,123.92","78,044.01","10,342.84",0.00,0.00,2022-01-25,2022-01-31,1
20220125,Northeast,"181,473.36","21,621.83","4,140.97","1,727.47",0.00,0.00,2022-01-25,2022-01-31,1
20220125,South,"90,175.41","434,799.89","370,990.67","268,447.55","121,912.30","2,028.86",2022-01-25,2022-01-31,1
20220125,Southeast,"206,314.03","84,027.57","15,049.03",0.00,0.00,0.00,2022-01-25,2022-01-31,1
20220125,West,"629,028.90","1,146,037.30","1,044,752.69","762,143.31","235,266.18","37,537.90",2022-01-25,2022-01-31,1
20220118,High Plains,"59,799.40","449,565.63","332,817.09","181,228.04","34,606.94",0.00,2022-01-18,2022-01-24,1
20220118,Midwest,"312,836.72","186,028.58","77,390.31","10,342.84",0.00,0.00,2022-01-18,2022-01-24,1
20220118,Northeast,"177,634.86","25,460.32","4,140.97","1,727.47",0.00,0.00,2022-01-18,2022-01-24,1
20220118,South,"89,762.07","435,213.23","362,037.06","261,723.69","105,694.66","1,440.21",2022-01-18,2022-01-24,1
20220118,Southeast,"189,092.95","101,248.64","24,457.85",0.00,0.00,0.00,2022-01-18,2022-01-24,1
20220118,West,"634,160.14","1,140,906.06","1,044,229.03","760,833.15","224,244.83","34,476.04",2022-01-18,2022-01-24,1
20220111,High Plains,"60,440.75","448,924.28","327,446.42","174,142.64","43,709.01",0.00,2022-01-11,2022-01-17,1
20220111,Midwest,"314,612.19","184,253.11","77,407.16","10,342.84",0.00,0.00,2022-01-11,2022-01-17,1
20220111,Northeast,"176,465.83","26,629.36","4,140.97","1,727.47",0.00,0.00,2022-01-11,2022-01-17,1
20220111,South,"88,954.11","436,021.19","342,921.52","246,561.94","91,229.76",0.00,2022-01-11,2022-01-17,1
20220111,Southeast,"162,514.29","127,827.30","45,520.87","2,196.12",0.00,0.00,2022-01-11,2022-01-17,1
20220111,West,"634,088.55","1,140,977.65","1,044,227.25","759,676.37","242,419.66","37,211.88",2022-01-11,2022-01-17,1
20220104,High Plains,"65,417.31","443,947.72","330,117.53","176,056.79","43,970.43",0.00,2022-01-04,2022-01-10,1
20220104,Midwest,"315,871.37","182,993.93","76,092.95","12,025.81",0.00,0.00,2022-01-04,2022-01-10,1
20220104,Northeast,"172,450.81","30,644.38","4,412.64","1,727.47",0.00,0.00,2022-01-04,2022-01-10,1
20220104,South,"86,463.30","438,512.01","327,403.21","226,743.99","78,975.86",0.00,2022-01-04,2022-01-10,1
20220104,Southeast,"164,135.21","126,206.38","47,359.52","3,794.12",0.00,0.00,2022-01-04,2022-01-10,1
20220104,West,"632,389.79","1,142,676.41","1,059,139.42","769,782.86","282,902.98","46,761.40",2022-01-04,2022-01-10,1
20211228,High Plains,"63,178.44","446,186.59","332,025.79","178,075.46","45,881.22",0.00,2021-12-28,2022-01-03,1
20211228,Midwest,"300,986.63","197,878.67","80,346.39","12,501.96",0.00,0.00,2021-12-28,2022-01-03,1
20211228,Northeast,"157,464.91","45,630.27","6,942.57","1,727.47",0.00,0.00,2021-12-28,2022-01-03,1
20211228,South,"124,267.69","400,707.61","283,254.25","155,951.94","44,049.94",0.00,2021-12-28,2022-01-03,1
20211228,Southeast,"111,437.17","178,904.42","81,374.42","30,162.28",0.00,0.00,2021-12-28,2022-01-03,1
20211228,West,"628,512.25","1,146,553.95","1,078,841.49","842,213.57","368,319.99","57,196.99",2021-12-28,2022-01-03,1
20211221,High Plains,"64,443.26","444,921.77","322,484.63","189,759.76","46,305.03",0.00,2021-12-21,2021-12-27,1
20211221,Midwest,"305,756.03","193,109.27","85,557.70","18,297.15",0.00,0.00,2021-12-21,2021-12-27,1
20211221,Northeast,"157,464.91","45,630.27","4,646.80","1,727.47",0.00,0.00,2021-12-21,2021-12-27,1
20211221,South,"139,673.92","385,301.38","263,576.25","108,222.01","14,524.57",0.00,2021-12-21,2021-12-27,1
20211221,Southeast,"132,992.22","157,349.37","76,057.57","30,162.28",0.00,0.00,2021-12-21,2021-12-27,1
20211221,West,"616,735.14","1,158,331.06","1,108,287.87","898,136.42","504,934.17","110,544.90",2021-12-21,2021-12-27,1
20211214,High Plains,"79,683.98","429,681.05","313,736.24","178,381.06","45,473.04",0.00,2021-12-14,2021-12-20,1
20211214,Midwest,"297,846.98","201,018.32","89,623.87","25,826.60","1,150.24",0.00,2021-12-14,2021-12-20,1
20211214,Northeast,"167,918.07","35,177.12","4,141.04","1,727.47",0.00,0.00,2021-12-14,2021-12-20,1
20211214,South,"118,039.64","406,935.66","261,659.46","100,208.85","7,080.85",0.00,2021-12-14,2021-12-20,1
20211214,Southeast,"92,978.10","197,363.49","68,129.21","29,611.53",0.00,0.00,2021-12-14,2021-12-20,1
20211214,West,"612,785.12","1,162,281.08","1,122,435.74","898,194.33","516,543.24","136,972.82",2021-12-14,2021-12-20,1
