Active,Airline,AirlineID,Alias,Callsign,Country,IATA,ICAO
N,Aero Servicio Corporativo,1277,\N,SERVICORP,Mexico,"",SRV
N,Aero Servicio Pity,639,\N,PITY,Mexico,"",PTD
N,Aero Servicios,635,\N,AERO SERVICIOS,Mexico,"",RVI
N,Aero Servicios Azteca,1298,\N,AEROAZTECA,Mexico,"",TED
N,Aero Servicios de Nuevo Laredo,1112,\N,AEROLAREDO,Mexico,"",NEL
N,Aero Servicios Ejecutivas Del Pacifico,1256,\N,SERVIPACIFICO,Mexico,"",SEF
N,Aero Servicios Ejecutivos Internacionales,18,\N,ASEISA,Mexico,"",SII
N,Aero Servicios Empresariales,347,\N,SERVIEMPRESARIAL,Mexico,"",EMS
N,Aero Servicios Expecializados,507,\N,AEROESPECIAL,Mexico,"",SVE
N,Aero Servicios Platinum,1152,\N,AERO PLATINUM,Mexico,"",PNU
N,Aero Servicios Regiomontanos,851,\N,ASERGIO,Mexico,"",ERI
N,Aero Servicios Vanguardia,675,\N,VANGUARDIA,Mexico,"",VNG
N,Aero Siete,859,\N,AEROSIETE,Mexico,"",ETE
N,Aero Silza,1262,\N,AEROSILZA,Mexico,"",SIZ
N,Aero Slovakia,450,\N,AERO NITRA,Slovakia,"",ASO
N,Aero Soga,1269,\N,AEROSOGA,Guinea-Bissau,"",SOG
N,Aero Sudpacifico,1255,\N,SUDPACIFICO,Mexico,"",SDP
N,Aero Survey,953,\N,GHANA SURVEY,Ghana,"",IKM
N,Aero Tanala,1309,\N,AEROTANALA,Mexico,"",TON
N,Aero Taxi,1163,\N,AIR QUASAR,Canada,"",QAT
N,Aero Taxi Autlan,1302,\N,AEREO AUTLAN,Mexico,"",TLD
N,Aero Taxi Aviation,1164,\N,QUAKER CITY,United States,"",QKC
N,Aero Taxi de Los Cabos,1292,\N,AERO CABOS,Mexico,"",TBO
N,Aero Taxi del Centro de Mexico,1305,\N,TAXICENTRO,Mexico,"",TME
N,Aero Taxi del Potosi,1313,\N,TAXI-POTOSI,Mexico,"",TPO
N,Aero Taxi Los Valles,676,\N,VALLES,Spain,"",VAD
N,Aero Taxis Cessna,284,\N,TAXIS CESSNA,Mexico,"",TND
N,Aero Taxis Y Servicios Alfe,482,\N,AERO ALFE,Mexico,"",FES
N,Aero Toluca Internactional,1304,\N,AEROTOLUCA,Mexico,"",TLU
N,Aero Tomza,1327,\N,AERO TOMZA,Mexico,"",TZA
N,Aero Trades (Western) Ltd.,490,\N,AERO TRADES,Canada,"",ATW
N,Aero Transporte S.A. (ATSA),310,\N,ATSA,Peru,"",AMP
N,Aero Transportes Del Humaya,436,\N,AERO HUMAYA,Mexico,"",HUY
N,Aero Transportes Empresariales,846,\N,EMPRESARIALES,Mexico,"",EPL
N,Aero Tropical,1310,\N,AERO TROPICAL,Angola,"",TPB
N,Aero Util,1303,\N,AEROUTIL,Mexico,"",TLE
N,Aero Vics,414,\N,AEROVICS,Mexico,"",ARI
N,Aero Vilamoura,677,\N,AERO VILAMOURA,Portugal,"",VMR
N,Aero VIP,353,\N,AVIP,Argentina,2D,AOG
N,Aero Virel,678,\N,VIREL,Mexico,"",VLS
N,Aero Vision,374,\N,AEROVISION,France,"",AOV
N,Aero Vodochody,350,\N,AERO CZECH,Czech Republic,"",AOD
N,Aero Yaqui Mayo,1104,\N,AERO YAQUI,Mexico,"",MYS
N,Aero Zambia,1248,\N,AERO ZAMBIA,Zambia,"",RZL
N,Aero Zano,1249,\N,ZANO,Mexico,"",RZN
N,Aeroalas Colombia,270,\N,AEROALAS,Colombia,"",ALE
N,Aeroatlantico Colombia,359,\N,"",Colombia,"",AOK
N,Aeroatlas,400,\N, S.A.,ATCO,"",AQA
N,Aerobanana,620,\N,AEROBANANA,Mexico,"",OBA
N,Aerobona,582,\N,AEROBONA,Mexico,"",BOC
N,Aerobusinessservice,1044,\N,"",Russia,"",LSM
N,Aerocardal,752,\N,CARDAL,Chile,"",CDA
N,Aerocenter,47,\N, Escuela de Formacion de Pioltos Privados de Avion,AEROCENTER,"",ACR
N,Aerocentral,475,\N,CENTRALMEX,Mexico,"",ATL
N,Aerocer,1177,\N,AEROCER,Mexico,"",RCE
N,Aerocesar,94,\N, Aerovias Del Cesar,AEROCESAR,"",AEC
N,Aerochago Airlines,189,\N,AEROCHAGO,Dominican Republic,"",AHG
N,Aerocharter,1091,\N,MARITIME,Canada,"",MRM
N,Aero-Charter Ukraine,1332,\N,CHARTER UKRAINE,Ukraine,DW,UCR
N,Aerocheyenne,793,\N,AEROCHEYENNE,Mexico,"",CYE
N,Aerochiapas,192,\N,AEROCHIAPAS,Mexico,"",AHP
N,Aeroclub Flaps,1337,\N,AEROCLUB FLAPS,Spain,"",FLP
N,Aerocon,100,\N,AEROCON,Bolivia,"",AEK
N,Aerocontinente (Priv),16437,"","",Peru,N6,\N
N,Aerocorp,1133,\N,CORPSA,Mexico,"",ORP
N,Aerocorp,1182,\N,AEROCORPSA,Mexico,"",RCP
N,Aerocozumel,602,\N,AEROCOZUMEL,Mexico,"",AZM
N,Aerocuahonte,786,\N,CUAHONTE,Mexico,"",CUO
N,Aerodan,1223,\N,AERODAN,Mexico,"",ROD
N,Aerodata Flight Inspection,877,\N,FLIGHT CHECKER,Germany,"",FII
N,Aerodespachos De El Salvador,813,\N,AERODESPACHOS,El Salvador,"",DNA
N,Aerodienst GmbH,79,\N,AERODIENST,Germany,"",ADN
N,Aerodin,804,\N,AERODIN,Mexico,"",DIN
N,Aerodinamica de Monterrey,810,\N,DINAMICAMONT,Mexico,"",DMC
N,Aerodiplomatic,80,\N,AERODIPLOMATIC,Mexico,"",ADP
